Table,Start Date,End Date,Start Era,End Era,Dynasty,Location,Sex,Glabello-Occipital Length,Ophryo-Occipital Length,Basi-Bregmatic Height,Maximum Breadth,Biauricular Breadth,Bizygomatic Breadth,Basi-Nasal Length,Basi-Aveolar Length,Nasi-Alveolar Height,Nasal Height,Nasal Width,Flower’s Alveolar Index,Gnathic Angle,Prognathism or Orthognathism,Estimated Cranial Capacity
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,189,189,132,133,115,125,101,99?,76?,53,26,98,,,1410
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,175,175,131,135,110,117,94,84,65?,47,22,89,,,1315
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,174,174,124,138,116,121,94,93,65,48,24,99,70,C D,1265
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,176,176,130,130,109,,97,86,57,40,19,89,81,- A,1265
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,161,159,127,134,115,121,91,85,66,47,22,93,72.5,A,1165
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,177,177,127,135,112,115,97,90,65,46,26,93,75,A B,1290
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,180,178,133,139,116,121,97,91,67,48,25,94,73.5,A B,1415
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,186,186,131,139,113,119,92,89,64,50,26,97,71,B C,1440
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,181,179,137,135,111,121,99,92,64,48,27,93,76,A B,1425
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,171,169,125,131,116,127,97,94,70,52,26,97,70.5,B C,1185
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,172,172,128,136,110,118,92,84,65,46,24,91,75,A,1275
29,-1590,-1330,BC,BC,Eighteenth Dynasty,Abydos,Female,183,181,121,139,111,120,93,93,66,47,24,100,68.5,C,1310
