sex,predynastic,c4800BC,c4200BC,c4000BC,c3700BC,c3500BC,c2780BC,c1590BC,c378BC,c331BC
Male,1370,1410,1320,1445,,1395,1425,1440,1310,1450
Male,1250,1445,1565,1540,,1420,1505,1355,1395,1460
Male,1430,1440,1600,1565,,1380,1360,1490,1360,1360
Male,1350,1340,1460,1710,,1260,1385,1425,1485,1410
Male,1130,1460,1520,1690,,1285,1350,1380,1365,1215
Male,1670,1290,1440,1775,,1505,1440,1490,1220,1320
Male,1195,1290,1740,1390,,1230,1400,1385,1195,1550
Male,1500,1385,1410,1620,,1250,1255,1270,1410,1320
Male,1325,1290,1510,1500,,1315,1450,1585,1370,1460
Male,1480,1565,1550,1255,,1360,1310,1330,1365,1560
Male,1350,1195,1480,1410,,1270,1600,1360,1330,1435
Male,1350,1450,,1560,,1335,1350,1230,1270,1400
Male,1480,1480,,1440,,1460,1560,1590,1550,1425
Male,1370,1530,,1450,,1265,1575,1465,1330,1375
Male,1490,1510,,1630,,1220,1260,1250,1370,1430
Male,1495,1540,,1670,,1440,1475,1330,1190,1475
Male,1220,1565,,1495,,1570,1360,1365,,1320
Male,1305,1510,,1470,,1400,1300,1365,,1330
Male,1525,1275,,1480,,1430,1245,1510,,1255
Male,1375,1380,,1475,,1470,1175,1330,,1385
Male,1520,1550,,1610,,1520,1340,1350,,1380
Male,1300,1430,,1400,,1350,1160,1390,,1460
Male,1400,1365,,1475,,1240,1250,1475,,1390
Male,1315,1435,,1570,,1275,1370,1465,,1325
Male,1460,1360,,1485,,1475,1400,1480,,1390
Male,1360,1480,,1560,,1360,1400,1245,,1450
Male,1310,1435,,1570,,1300,1330,1390,,1460
Male,1440,1340,,1570,,1355,1375,1460,,1460
Male,1245,1510,,1465,,1235,1365,1310,,1375
Male,1360,1415,,1540,,1390,1300,1280,,1510
Male,1300,1440,,1495,,1405,1280,1350,,1375
Male,1470,1440,,1520,,1445,1360,1345,,1465
Male,1320,1640,,1290,,1465,1400,1240,,1390
Male,1290,1370,,1430,,1370,1600,1285,,1475
Male,1400,1390,,1515,,1290,1350,1470,,1310
Male,1310,1590,,1405,,1330,1435,1310,,1265
Male,1400,1450,,1260,,1200,1270,1360,,1435
Male,1410,1390,,1730,,1740,1390,1345,,1210
Male,1495,1485,,1450,,1515,1265,1365,,1215
Male,1250,1520,,1490,,1405,1340,1365,,1380
Male,1350,1360,,1480,,1335,1525,1210,,1400
Male,1430,1325,,1430,,1275,1190,1330,,1510
Male,1490,1315,,1400,,1190,1415,1450,,1365
Male,1140,1340,,1290,,1355,1475,1355,,1440
Male,1490,1350,,1560,,1360,1355,1410,,1355
Male,1505,1475,,1340,,1460,1340,1505,,1420
Male,1375,1380,,1235,,1630,1300,1225,,1470
Male,1315,1425,,1535,,1305,1420,1480,,1390
Male,1465,1500,,1530,,1410,1470,1460,,1445
Male,1220,1600,,1535,,1550,1355,1355,,1240
Male,1400,1450,,,,1315,1505,1510,,1360
Male,1440,1450,,,,1550,1330,1395,,1300
Male,1350,1540,,,,1415,1395,1560,,1240
Male,1260,1425,,,,1460,1275,1590,,1380
Male,1450,1480,,,,1480,1460,1265,,1460
Male,1380,1420,,,,1230,1480,1515,,1570
Male,1500,1280,,,,1480,1265,1615,,1315
Male,1380,,,,,1260,1510,1400,,1430
Male,1430,,,,,1450,1610,1600,,1420
Male,1430,,,,,1430,1375,1215,,1430
Male,1420,,,,,1490,1290,1585,,1190
Male,1525,,,,,1410,1200,1610,,1540
Male,1430,,,,,1550,1660,1565,,1270
